Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PT DWIGUNA MEGANTARA CITRA - HO,CORPORATE,Jasa Lainnya (Badan Usaha) [NP CP],PELTU,410160,25.0,409226565.0,10406055.0,39627885.0
January,LAINNYA,PT DAYKLIN INDONESIA SEJAHTERA - NEW,CORPORATE,00.COST,CBIMAY,200318,25.0,900000.0,36000.0,36000.0
January,LAINNYA,PT ESENSI SOLUSI BUANA - HO,CORPORATE,Biaya PPN [NP ALL,MLGDIR,410142,1.0,82500.0,82500.0,82500.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Jasa Lainnya (Badan Usaha) [NP RESTO],GGPDAA,410148,1.0,5500000.0,5500000.0,5500000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Jasa Lainnya (Badan Usaha) [NP RESTO],KYBFAT,410148,1.0,2450000.0,2450000.0,2450000.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Jasa Lainnya (Badan Usaha) [NP RESTO],TNACEM,410148,1.0,2450000.0,2450000.0,2450000.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,00.COST,PELTU,200736,12.0,2038800.0,169900.0,169900.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,00.COST,PELTU,200450,8.0,879200.0,109900.0,109900.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,00.COST,PELTU,200365,30.0,7497000.0,249900.0,249900.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,00.COST,PELTU,200043,140.0,2226000.0,15900.0,15900.0
January,LAINNYA,PT XUZHONG GROUP INDONESIA - (HO),CORPORATE,Biaya PPN [NP ALL,SINGO,410142,1.0,0.0,0.0,0.0
January,LAINNYA,PT XUZHONG GROUP INDONESIA - (HO),CORPORATE,ASSET [AKTIVA],SINGO,910001,8.0,271864000.0,28979000.0,38987000.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,21.COST.ASSET,PELTU,200586,15.0,22485000.0,1499000.0,1499000.0
January,LAINNYA,PT WISWANI KHARYA MANDIRI,VENDOR SDG,Aset Penyelesaian [NP CP],SINGO,410129,1.0,45000000000.0,45000000000.0,45000000000.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNGSAL,200213,50000.0,28750000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNGSAL,200212,98000.0,78890000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNGHAS,200213,114500.0,65837500.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNGHAS,200212,185500.0,149327500.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNGCIL,200213,44000.0,25300000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNGCIL,200212,65500.0,52727500.0,805.0,805.0
January,LAINNYA,PT WISWANI KHARYA MANDIRI,VENDOR SDG,Aset Dalam Penyelesaian [NP Resto],PBGHAR,410144,1.0,846375000.0,846375000.0,846375000.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNAMAN,200213,25000.0,14375000.0,575.0,575.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,Biaya Inventaris [NP RESTO],SBYAHM,410003,1.0,2401200.0,2401200.0,2401200.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,Biaya Inventaris [NP RESTO],SBYMEN,410003,1.0,2401200.0,2401200.0,2401200.0
January,LAINNYA,PT. ATLAS ES - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],SMGSET,410105,9950.0,7313250.0,735.0,735.0
January,LAINNYA,PT. ATLAS ES - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],SMGPAM,410105,12600.0,9261000.0,735.0,735.0
January,LAINNYA,PT. ATLAS ES - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],SMGMAK,410105,10450.0,7680750.0,735.0,735.0
January,LAINNYA,PT. ATLAS ES - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],SMGIMA,410105,8400.0,6174000.0,735.0,735.0
January,LAINNYA,PT. ATLAS ES - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],SMGHAM,410105,15180.0,11157300.0,735.0,735.0
January,LAINNYA,PT. ATLAS ES - NEW,CORPORATE,Biaya Bahan Pembantu [NP COST RESTO],KDSSUB,410105,7800.0,6240000.0,800.0,800.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,Biaya Inventaris [NP RESTO],SBYMAN,410003,1.0,2401200.0,2401200.0,2401200.0
January,LAINNYA,PT. ARTA JOIL TAPPA - HO,NON-BAHAN,00.COST,PELTU,200450,65.0,8064000.0,123625.0,124760.0
January,LAINNYA,PT. ARITA PRIMA INDONESIA TBK,LANDLORD,Biaya PPN [NP ALL,CKGBOU,410142,1.0,501648.0,501648.0,501648.0
January,LAINNYA,PT. ANUTA KARYA PRIMA - NEW,CORPORATE,00.COST,MKSTUN,200337,600.0,4821525.0,8035.875,8035.875
January,LAINNYA,PT. ANUTA KARYA PRIMA - NEW,CORPORATE,00.COST,MKSAHM,200337,816.0,6557275.0,8035.875,8035.8833
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,Biaya Inventaris [NP RESTO],SMNAFF,410003,1.0,3925500.0,3925500.0,3925500.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,Biaya Inventaris [NP RESTO],SMGWOL,410003,1.0,2599500.0,2599500.0,2599500.0
January,LAINNYA,PT. ACE HARDWARE INDONESIA - HO,NON-BAHAN,Biaya Inventaris [NP RESTO],SDATEU,410003,1.0,2831600.0,2831600.0,2831600.0
January,LAINNYA,PT. ARITA PRIMA INDONESIA TBK,LANDLORD,Jasa Lainnya (Badan Usaha) [NP RESTO],CKGBOU,410148,1.0,4560435.0,4560435.0,4560435.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TNAMAN,200212,37000.0,29785000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TJPDAN,200213,85500.0,49162500.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,TJPDAN,200212,144000.0,115920000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSJAT,200212,88000.0,70840000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSGOL,200213,46000.0,26450000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSGOL,200212,91000.0,73255000.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSBIN,200213,41000.0,23575000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSBIN,200212,71500.0,57557500.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSBAN,200213,51000.0,29325000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSJAT,200213,40000.0,23000000.0,575.0,575.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSBAN,200212,88500.0,71242500.0,805.0,805.0
January,LAINNYA,PT TRINATA BHUANA - NEW,CORPORATE,01. COST - PACKAGING,BKSALT,200212,93500.0,75267500.0,805.0,805.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Perizinan [NP COST RESTO],TNGCIL,410013,1.0,0.0,0.0,0.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Perizinan [NP COST RESTO],KYBFAT,410013,1.0,0.0,0.0,0.0
January,LAINNYA,PT TOYA BUMI BERSIH,VENDOR SDG,Perizinan [NP COST RESTO],GGPDAA,410013,1.0,625000.0,625000.0,625000.0
