Month,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,Kategori
February,SEAL PACK 3.5 LTR/3500 ML,382.0,480.0,336,
February,SEAL PACK DIMSUM,515.0,828.0,378,
February,SEAL PACK POWDER,122.0,216.0,284,
February,SENDOK ES STAINLESS,141.0,180.0,120,
February,SENDOK MAKAN STAINLESS,,,612,
February,SENDOK TAKAR 12 GRM,178.0,,26,
February,SENDOK TAKAR PLASTIK,156.0,90.0,112,
February,SENDOK TAKAR STAINLESS,162.0,,332,
February,SEROK BESAR KAWAT,73.0,80.0,37,
February,SEROK ICE,72.0,310.0,430,
February,SHAKER 750,90.0,,251,
February,SPATULA MIE IBLIS ( SODET COKLAT ),74.0,340.0,448,
February,SPATULA STAINLESS,212.0,200.0,289,
February,STEMPEL,64.0,,81,
February,STICK PENGGANTI LAMPU,7.0,,15,
February,STIK DRUM,107.0,100.0,102,
February,STRAINER BOWL STAINLESS LUBANG BASKOM KECIL,140.0,,300,
February,SUTIL,57.0,100.0,65,
February,TALENAN PLASTIK,57.0,96.0,62,
February,TANGGA 3 METER,10.0,4.0,15,
February,TANGKI BOILER,,,,MAINTENANCE
February,TEKO BESAR ( BIANG TEH ),36.0,35.0,49,
February,TEMPAT SAMPAH 80 L (TERTUTUP & INJAK),27.0,10.0,120,
February,TEMPAT SAMPAH ABU-ABU 20 LTR,136.0,100.0,96,
February,TEMPAT SAMPAH BESAR UK 80 LTR,10.0,,25,
February,TEMPAT SAMPAH KECIL UK 10 LTR,73.0,40.0,52,
February,TEMPAT SENDOK,7.0,,36,
February,TEMPAT SENDOK FELICIA JUMBO,21.0,,45,
February,TEMPAT TIMER,23.0,,,
February,TERMOGUN,40.0,45.0,91,
February,TERMOMETER,58.0,20.0,54,
February,TERMOS AIR,24.0,18.0,49,
February,THERMOCOUPLE,,,106,MAINTENANCE
February,"THERMOCOUPLE 2C 24"" GS 2185 (GRIDLE)",,,,MAINTENANCE
February,TIMBANGAN 100 KG,15.0,32.0,34,
February,TIMBANGAN DIGITAL FORTUNO 30 KG,40.0,270.0,299,
February,TIMBANGAN DIGITAL KECIL,7.0,,15,
February,TIMER DIGITAL,445.0,430.0,148,
February,TOOL BOX,10.0,,14,
February,TOPLES UK 18 LTR,515.0,456.0,452,
February,TOPLES UK 4 LTR,200.0,,208,
February,TOPLES UK 9 LTR,287.0,324.0,215,
February,TOWEL,1952.0,12240.0,14175,
February,TROLLI CLEAR UP,45.0,50.0,99,
February,TROLLI LOADING,13.0,,3,
February,WAJAN BESI UK 50',42.0,50.0,42,
February,WAJAN BESI UK 70',33.0,20.0,45,
March,AKRILIC PRINTER,60.0,300.0,423,
March,ALAT PEL,87.0,68.0,82,
March,ALAT PEMADAM KEBAKARAN ( APAR ),14.0,21.0,13,
March,AMBRO FLATWARE BASKET,8.0,,32,
March,APAR POWDER 3KG,16.0,38.0,26,
March,APAR TIPE K 6KG,8.0,19.0,13,
March,ASBAK,340.0,252.0,304,
March,BABY CHAIR,16.0,,11,
March,BAK THAWING BULAT 80 L,9.0,29.0,31,
March,BALON WHISK,28.0,80.0,112,
March,BASKOM KOTAK BESAR,265.0,480.0,520,
March,BASKOM STAINLESS 12 CM,56.0,135.0,204,
March,BASKOM STAINLESS 18 CM,131.0,250.0,184,
March,BASKOM STAINLESS UK 14 CM,17.0,125.0,149,
March,BASKOM STAINLESS UK 26 CM,45.0,105.0,74,
March,BILL HOLDER,27.0,150.0,281,
March,BOTOL DIPPING BESAR,71.0,324.0,425,
March,BOTOL KECAP KECIL,227.0,444.0,516,
March,BOTOL SPRAY,286.0,412.0,448,
March,BURNER GS UK 9 NP,,,66,MAINTENANCE
March,CADDY BAG,48.0,,103,
March,CAPIT SNACK ( BESAR ),114.0,206.0,104,
March,CASH BOX,8.0,18.0,36,
March,CETING TRADISI ( BESAR ),209.0,332.0,363,
March,CETING TRADISI ( KECIL ),57.0,,570,
March,COOL BOX 55LTR,16.0,28.0,23,
March,DIGITAL CALIPER,8.0,,7,
March,DISPENSER,36.0,15.0,68,
March,DISPENSER SABUN KRISBOW,38.0,39.0,25,
March,DITEKTOR UANG PALSU,34.0,120.0,153,
March,DUST BIN KUNING 240 LTR (TEMPAT SAMPAH),38.0,50.0,55,
March,DUSTBIN STAINLESS BULAT,8.0,,11,
March,EMBER,22.0,36.0,126,
March,EMBER 6 GL,45.0,70.0,70,
March,EROS MELAMINE UK BESAR,36.0,70.0,113,
March,EROS STAINLESS UK 30 CC,60.0,130.0,446,
March,EROS STAINLESS UK 60 CC,53.0,,277,
March,EROS STAINLESS UK 90 CC,62.0,,271,
March,EROS STAINLESS UK BESAR,15.0,60.0,107,
March,FILLING KABINET,9.0,2.0,5,
March,FOOD PAN KECIL,28.0,110.0,108,
March,GARPU ADUKAN MIE,152.0,402.0,270,
March,GARPU MAKAN,12.0,15.0,576,
March,GAS BURNER ( LONG SHUN ),6.0,,11,MAINTENANCE
March,GAS KNOP DIA 8 MM W,,45.0,132,MAINTENANCE
March,GAS KNOP F/JP SERIES,,35.0,95,MAINTENANCE
March,GAS VALVE HIGH PREASURE (CONTROL SE),,45.0,50,MAINTENANCE
March,GAS VALVE HP DOUBLE TURBO,,60.0,82,MAINTENANCE
March,GELAS KARYAWAN,2014.0,3000.0,2318,
March,GELAS MINUMAN HANGAT,742.0,540.0,1243,
March,GELAS TEA,15838.0,26390.0,35280,
March,GELAS UKUR 130 ML,82.0,160.0,209,
March,GOLOK,69.0,240.0,264,
