Quarter,Nama Barang,AVG PICK UP,AVG PEMBELIAN,AVG SALDO AKHIR,HARGA PEMBELIAN TERAKHIR,TOTAL [PEMBELIAN],OVERSTOCK,BUFFER STOCK,TOTAL [SALDO AKHIR],ANGKA STANDART BARU,OVERSTOCK [ANGKA STANDART BARU],ANGKA STANDART LAMA,Kategori,OVERSTOCK [ANGKA STANDART LAMA]
Q4,BAK THAWING BULAT 80 L,19.0,26.0,37.0,165000.0,4290000.0,OVER,4.0,6105000.0,23.0,OVER,46,,LOW
Q4,BALON WHISK,32.0,36.0,93.0,65000.0,2340000.0,OVER,14.0,6045000.0,46.0,OVER,48,,OVER
Q4,BASKOM KOTAK BESAR,172.0,130.0,452.0,38421.2,4994756.0,OK,138.0,17366382.4,310.0,OVER,360,,OK
Q4,BASKOM STAINLESS 12 CM,42.0,53.0,104.0,6350.65,336584.44999999995,OVER,28.0,660467.6,70.0,OVER,92,,OK
Q4,BASKOM STAINLESS 18 CM,95.0,77.0,282.0,20000.01,1540000.7699999998,OK,61.0,5640002.819999999,156.0,OVER,168,,OVER
Q4,BASKOM STAINLESS UK 14 CM,18.0,25.0,30.0,8400.0,210000.0,OVER,7.0,252000.0,25.0,OVER,49,,LOW
Q4,BASKOM STAINLESS UK 26 CM,15.0,18.0,25.0,37500.0,675000.0,OVER,8.0,937500.0,23.0,OVER,35,,LOW
Q4,BILL HOLDER,21.0,,422.0,120000.0,,OK,19.0,50640000.0,40.0,OVER,166,,OVER
Q4,BOTOL DIPPING BESAR,18.0,,207.0,12500.0,,OK,12.0,2587500.0,30.0,OVER,131,,OVER
Q4,BOTOL KECAP KECIL,244.0,235.0,678.0,10000.0,2350000.0,OK,94.0,6780000.0,338.0,OVER,355,,OVER
Q4,BOTOL SPRAY,262.0,,1091.0,15900.0,,OK,72.0,17346900.0,334.0,OVER,433,,OVER
Q4,BURNER GS UK 9 NP,14.0,30.0,63.0,2022677.0,60680310.0,OVER,11.0,127428651.0,25.0,OVER,0,MAINTENANCE,OVER
Q4,CADDY BAG,64.0,6.0,475.0,46316.35,277898.1,OK,44.0,22000266.25,108.0,OVER,166,,OVER
Q4,CAPIT SNACK ( BESAR ),72.0,47.0,131.0,16000.0,752000.0,OK,19.0,2096000.0,91.0,OVER,82,,OVER
Q4,CASH BOX,10.0,11.0,46.0,607360.75,6680968.25,OVER,7.0,27938594.5,17.0,OVER,16,,OVER
Q4,CETING TRADISI ( BESAR ),144.0,71.0,423.0,45028.55,3197027.0500000003,OK,87.0,19047076.650000002,231.0,OVER,240,,OVER
Q4,CETING TRADISI ( KECIL ),11.0,,397.0,1167.0,,OK,2.0,463299.0,13.0,OVER,73,,OVER
