CAB,MONTH,SOURCE,KAT,NOM
BKSJAT,01-Aug-24,WEB,EDC,64764000
BKSJAT,01-Aug-24,WEB,GO RESTO,371729961
BKSJAT,01-Aug-24,WEB,GRAB FOOD,330374435
BKSJAT,01-Aug-24,WEB,QRIS SHOPEE,420163000
BKSJAT,01-Aug-24,WEB,SHOPEEPAY,1034096788
BKSJAT,01-Feb-24,INVOICE,GO RESTO,395096061
BKSJAT,01-Feb-24,INVOICE,GRAB FOOD,344104394.6
BKSJAT,01-Feb-24,INVOICE,QRIS SHOPEE,271951537
BKSJAT,01-Feb-24,INVOICE,SHOPEEPAY,834667000
BKSJAT,01-Feb-24,WEB,GO RESTO,395743819
BKSJAT,01-Feb-24,WEB,GRAB FOOD,345363268
BKSJAT,01-Feb-24,WEB,QRIS SHOPEE,271785500
BKSJAT,01-Feb-24,WEB,SHOPEEPAY,837593837
BKSJAT,01-Jan-24,INVOICE,GO RESTO,517701500
BKSJAT,01-Jan-24,INVOICE,GRAB FOOD,348830033.4
BKSJAT,01-Jan-24,INVOICE,QRIS SHOPEE,297345066
BKSJAT,01-Jan-24,INVOICE,SHOPEEPAY,890630510
BKSJAT,01-Jan-24,WEB,CASH,1313962500
BKSJAT,01-Jan-24,WEB,EDC,123776500
BKSJAT,01-Jan-24,WEB,GO RESTO,519190000
BKSJAT,01-Jan-24,WEB,GRAB FOOD,351027518
BKSJAT,01-Jan-24,WEB,QRIS SHOPEE,297034000
BKSJAT,01-Jan-24,WEB,SHOPEEPAY,895037500
BKSJAT,01-Jul-24,INVOICE,GO RESTO,554131866
BKSJAT,01-Jul-24,INVOICE,GRAB FOOD,306576984
BKSJAT,01-Jul-24,INVOICE,QRIS SHOPEE,396119501
BKSJAT,01-Jul-24,INVOICE,SHOPEEPAY,977780882
BKSJAT,01-Jul-24,WEB,CASH,1309725500
BKSJAT,01-Jul-24,WEB,EDC,101468500
BKSJAT,01-Jul-24,WEB,GO RESTO,554293920
BKSJAT,01-Jul-24,WEB,GRAB FOOD,306106038
BKSJAT,01-Jul-24,WEB,QRIS SHOPEE,396309000
BKSJAT,01-Jul-24,WEB,SHOPEEPAY,979048102
BKSJAT,01-Jun-24,INVOICE,GO RESTO,590017103
BKSJAT,01-Jun-24,INVOICE,GRAB FOOD,348268397
BKSJAT,01-Jun-24,INVOICE,QRIS SHOPEE,410233643
BKSJAT,01-Jun-24,INVOICE,SHOPEEPAY,1015223163
BKSJAT,01-Jun-24,WEB,CASH,1351301500
BKSJAT,01-Jun-24,WEB,EDC,148845500
BKSJAT,01-Jun-24,WEB,GO RESTO,590063289
BKSJAT,01-Jun-24,WEB,GRAB FOOD,349308364
BKSJAT,01-Jun-24,WEB,QRIS SHOPEE,410822500
BKSJAT,01-Jun-24,WEB,SHOPEEPAY,1017521929
BKSJAT,01-Mar-24,INVOICE,GO RESTO,364977005
BKSJAT,01-Mar-24,INVOICE,GRAB FOOD,363701920.6
BKSJAT,01-Mar-24,INVOICE,QRIS SHOPEE,331666357
BKSJAT,01-Mar-24,INVOICE,SHOPEEPAY,842400963
BKSJAT,01-Mar-24,WEB,GO RESTO,366138445
BKSJAT,01-Mar-24,WEB,GRAB FOOD,366616505
BKSJAT,01-Mar-24,WEB,QRIS SHOPEE,338209500
BKSJAT,01-Mar-24,WEB,SHOPEEPAY,846544342
BKSJAT,01-May-24,INVOICE,GO RESTO,507981040
