Month,PIC,Pemasok,Kategori Pemasok,Kategori Barang,Nama Cabang,Kode #,#Prime.Qty,#Purch.Total,min,max
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200209,17500,2170000,124,124
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200210,7000,930000,120,142.5
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - 00,HNCTAZ,200337,380,2470000,6500,6500
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200212,33000,10890000,330,330
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200293,30,540000,18000,18000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200298,90,1960000,20000,22000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200299,80,2560000,32000,32000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200300,80,675000,8000,8500
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200301,240,3615000,14000,22000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200314,30,120000,4000,4000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200197,2000,700000,350,350
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200198,12000,4200000,350,350
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,VLRFHP,200213,20000,5250000,262.5,262.5
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200201,3,90000,30000,30000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - 00,HNCTAZ,200287,15000,1500000,100,100
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - 00,NUDPBK,200287,17000,1700000,100,100
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,IT Cost [NPR],TMKDQO,410007,1,1250000,1250000,1250000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],VBTJYI,410119,2,624000,224000,400000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],TMKDQO,410119,2,560000,260000,300000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],EJBHRR,410119,1,260000,260000,260000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],UROTOU,410119,1,360000,360000,360000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],EFVNJZ,410119,1,180000,180000,180000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],DEMUFC,410119,1,260000,260000,260000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],HLCMCQ,410119,1,260000,260000,260000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - 00,NUDPBK,200337,400,2600000,6500,6500
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],LDFANO,410119,1,260000,260000,260000
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],PIKBZU,410119,1,260000,260000,260000
January,LAINNYA,BROWN HUMAN / RADIATION 2,VENDOR SDG,Jasa Pemeliharaan Bangunan [NPR],JLQEBR,410117,1,5200000,5200000,5200000
January,LAINNYA,BROWN HUMAN / RADIATION 2,VENDOR SDG,Pemeliharaan Bangunan [NPR],JLQEBR,410010,1,4800000,4800000,4800000
January,LAINNYA,PT. BOOSTER GOLD DC COMICS,Umum,Biaya Bahan Pembantu [NPCR],BUCHBK,410093,495,2970000,6000,6000
January,LAINNYA,PT. FIRESTORM DC COMICS 2,Umum,Biaya Bahan Pembantu [NPCR],UUHWJH,410105,15235,22852500,1500,1500
January,LAINNYA,PT. FIXER MARVEL COMICS 2,Umum,Biaya Bahan Pembantu [NPCR],NSVBLL,410105,12040,24080000,2000,2000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - 00,VLRFHP,200287,4000,400000,100,100
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - 00,VLRFHP,200337,520,3380000,6500,6500
January,LAINNYA,BLACK TALOKITE,NON-BAHAN,Jasa Pemeliharaan Inventaris [NPR],HZERZV,410119,1,260000,260000,260000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200207,10,180000,18000,18000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200208,30,1230000,41000,41000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200209,30000,3720000,124,124
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200300,120,1020000,8500,8500
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200301,390,5625000,14000,14500
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200314,6,24000,4000,4000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TBKKZV,200212,33000,10395000,315,315
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TBKKZV,200213,26000,6500000,250,250
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200208,1,39000,39000,39000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200209,2250,261000,116,116
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200210,8000,1140000,142.5,142.5
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200299,50,1600000,32000,32000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200212,36000,11340000,315,315
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200293,7,126000,18000,18000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200298,40,800000,20000,20000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200299,10,320000,32000,32000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200300,10,80000,8000,8000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200301,30,420000,14000,14000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200314,5,20000,4000,4000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,Beban Packaging [NPR],VLRFHP,410275,5000,350000,70,70
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,Beban Packaging [NPR],NUDPBK,410275,27000,1890000,70,70
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,TJUSDM,200213,26000,6500000,250,250
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200298,80,1760000,22000,22000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200293,50,900000,18000,18000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,HNCTAZ,200213,32000,8400000,262.5,262.5
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200210,8000,1005000,120,142.5
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200212,89000,29370000,330,330
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200213,46000,12075000,262.5,262.5
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200293,100,1800000,18000,18000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200298,40,880000,22000,22000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200299,120,3840000,32000,32000
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200300,150,1275000,8500,8500
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200301,670,9715000,14500,14500
January,LAINNYA,PT. BOX IV MARVEL COMICS,Umum,COST - PACKAGING,NUDPBK,200314,5,20000,4000,4000
